question,answer
Hàng tuần anh/chị có cảm thấy đau đầu mỗi khi xếp lịch làm cho nhân viên không?,Có
Hàng tuần anh/chị có cảm thấy đau đầu mỗi khi xếp lịch làm cho nhân viên không?,Có
Hàng tuần anh/chị có cảm thấy đau đầu mỗi khi xếp lịch làm cho nhân viên không?,Có
Hàng tuần anh/chị có cảm thấy đau đầu mỗi khi xếp lịch làm cho nhân viên không?,Có
Hàng tuần anh/chị có cảm thấy đau đầu mỗi khi xếp lịch làm cho nhân viên không?,Có
Hàng tuần anh/chị có cảm thấy đau đầu mỗi khi xếp lịch làm cho nhân viên không?,Có
Hàng tuần anh/chị có cảm thấy đau đầu mỗi khi xếp lịch làm cho nhân viên không?,Có
Hàng tuần anh/chị có cảm thấy đau đầu mỗi khi xếp lịch làm cho nhân viên không?,Có
Hàng tuần anh/chị có cảm thấy đau đầu mỗi khi xếp lịch làm cho nhân viên không?,Có
Hàng tuần anh/chị có cảm thấy đau đầu mỗi khi xếp lịch làm cho nhân viên không?,Có
Hàng tuần anh/chị có cảm thấy đau đầu mỗi khi xếp lịch làm cho nhân viên không?,Có
Hàng tuần anh/chị có cảm thấy đau đầu mỗi khi xếp lịch làm cho nhân viên không?,Có
Hàng tuần anh/chị có cảm thấy đau đầu mỗi khi xếp lịch làm cho nhân viên không?,Có
Hàng tuần anh/chị có cảm thấy đau đầu mỗi khi xếp lịch làm cho nhân viên không?,Có
Hàng tuần anh/chị có cảm thấy đau đầu mỗi khi xếp lịch làm cho nhân viên không?,Có
Hàng tuần anh/chị có cảm thấy đau đầu mỗi khi xếp lịch làm cho nhân viên không?,Có
Hàng tuần anh/chị có cảm thấy đau đầu mỗi khi xếp lịch làm cho nhân viên không?,Có
Hàng tuần anh/chị có cảm thấy đau đầu mỗi khi xếp lịch làm cho nhân viên không?,Có
Hàng tuần anh/chị có cảm thấy đau đầu mỗi khi xếp lịch làm cho nhân viên không?,Có
Hàng tuần anh/chị có cảm thấy đau đầu mỗi khi xếp lịch làm cho nhân viên không?,Có
Hàng tuần anh/chị có cảm thấy đau đầu mỗi khi xếp lịch làm cho nhân viên không?,Có
Hàng tuần anh/chị có cảm thấy đau đầu mỗi khi xếp lịch làm cho nhân viên không?,Có
Hàng tuần anh/chị có cảm thấy đau đầu mỗi khi xếp lịch làm cho nhân viên không?,Có
Hàng tuần anh/chị có cảm thấy đau đầu mỗi khi xếp lịch làm cho nhân viên không?,Có
Hàng tuần anh/chị có cảm thấy đau đầu mỗi khi xếp lịch làm cho nhân viên không?,Có
Hàng tuần anh/chị có cảm thấy đau đầu mỗi khi xếp lịch làm cho nhân viên không?,Có
Hàng tuần anh/chị có cảm thấy đau đầu mỗi khi xếp lịch làm cho nhân viên không?,Có
Hàng tuần anh/chị có cảm thấy đau đầu mỗi khi xếp lịch làm cho nhân viên không?,Không
Hàng tuần anh/chị có cảm thấy đau đầu mỗi khi xếp lịch làm cho nhân viên không?,Không
Hàng tuần anh/chị có cảm thấy đau đầu mỗi khi xếp lịch làm cho nhân viên không?,Không
Hàng tuần anh/chị có cảm thấy đau đầu mỗi khi xếp lịch làm cho nhân viên không?,Không
Hàng tuần anh/chị có cảm thấy đau đầu mỗi khi xếp lịch làm cho nhân viên không?,Không
Hàng tuần anh/chị có cảm thấy đau đầu mỗi khi xếp lịch làm cho nhân viên không?,Bình thường
Hàng tuần anh/chị có cảm thấy đau đầu mỗi khi xếp lịch làm cho nhân viên không?,Bình thường
Hàng tuần anh/chị có cảm thấy đau đầu mỗi khi xếp lịch làm cho nhân viên không?,Bình thường
Hàng tuần anh/chị có cảm thấy đau đầu mỗi khi xếp lịch làm cho nhân viên không?,Bình thường
Hàng tuần anh/chị có cảm thấy đau đầu mỗi khi xếp lịch làm cho nhân viên không?,Bình thường
Hàng tuần anh/chị có cảm thấy đau đầu mỗi khi xếp lịch làm cho nhân viên không?,Bình thường
Hàng tuần anh/chị có cảm thấy đau đầu mỗi khi xếp lịch làm cho nhân viên không?,Bình thường
Hàng tuần anh/chị có cảm thấy đau đầu mỗi khi xếp lịch làm cho nhân viên không?,Bình thường
Hàng tuần anh/chị có cảm thấy đau đầu mỗi khi xếp lịch làm cho nhân viên không?,Bình thường
Hàng tuần anh/chị có cảm thấy đau đầu mỗi khi xếp lịch làm cho nhân viên không?,Bình thường
Hàng tuần anh/chị có cảm thấy đau đầu mỗi khi xếp lịch làm cho nhân viên không?,Bình thường
Hàng tuần anh/chị có cảm thấy đau đầu mỗi khi xếp lịch làm cho nhân viên không?,Bình thường
Hàng tuần anh/chị có cảm thấy đau đầu mỗi khi xếp lịch làm cho nhân viên không?,Bình thường
Hàng tuần anh/chị có cảm thấy đau đầu mỗi khi xếp lịch làm cho nhân viên không?,Bình thường
Hàng tuần anh/chị có cảm thấy đau đầu mỗi khi xếp lịch làm cho nhân viên không?,Bình thường
Hàng tuần anh/chị có cảm thấy đau đầu mỗi khi xếp lịch làm cho nhân viên không?,Bình thường
Hàng tuần anh/chị có cảm thấy đau đầu mỗi khi xếp lịch làm cho nhân viên không?,Bình thường
Hàng tuần anh/chị có cảm thấy đau đầu mỗi khi xếp lịch làm cho nhân viên không?,Bình thường
Hàng tuần anh/chị có cảm thấy đau đầu mỗi khi xếp lịch làm cho nhân viên không?,Bình thường
Hàng tuần anh/chị có cảm thấy đau đầu mỗi khi xếp lịch làm cho nhân viên không?,Bình thường
Hàng tuần anh/chị có cảm thấy đau đầu mỗi khi xếp lịch làm cho nhân viên không?,Bình thường
Hàng tuần anh/chị có cảm thấy đau đầu mỗi khi xếp lịch làm cho nhân viên không?,Bình thường
Hàng tuần anh/chị có cảm thấy đau đầu mỗi khi xếp lịch làm cho nhân viên không?,Bình thường
Hàng tuần anh/chị có cảm thấy đau đầu mỗi khi xếp lịch làm cho nhân viên không?,Bình thường
Hàng tuần anh/chị có cảm thấy đau đầu mỗi khi xếp lịch làm cho nhân viên không?,Bình thường
Hàng tuần anh/chị có cảm thấy đau đầu mỗi khi xếp lịch làm cho nhân viên không?,Bình thường
